State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
OYO,SAKI WEST,SEPETERI/BAPON,30-32-11-015,AJEUNSINUDEKU II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,SAKI WEST,SEPETERI/BAPON,30-32-11-018,FRONT OF OJASE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,SAKI WEST,SEPETERI/BAPON,30-32-11-019,OGBALANJA,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,SAKI WEST,SEPETERI/BAPON,30-32-11-020,ABADAWAKI,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IDO,BATAKE/IDI-IYA,30-14-05-009,OPEN SPACE ISALE OJA,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,ISEYIN,EKUNLE I,30-16-03-019,ITA-YANGI,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,ISEYIN,EKUNLE I,30-16-03-023,EBEDI MOTOR PARK,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,ISEYIN,KOSO I,30-16-09-012,"HAUJA BLK INDUSTRY, JALUMI",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,ISEYIN,KOSO I,30-16-09-015,"C &S CHURCH, LATSON AZEEZ CRESCEN",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OGBOMOSO NORTH,ABOGUNDE,30-21-01-013,OPEN SPACE OPPOSITE MOBOLUWADURO,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OGBOMOSO SOUTH,AKATA,30-22-01-019,AYEGUN PRY SCHOOL III,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OGBOMOSO SOUTH,IBAPON,30-22-04-029,OPEN SPACE NEW ESTATE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,AYEGUN,30-25-01-015,OKULU,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,IDI-IROKO/IKEREKU,30-25-02-022,AJINDE/IRE AKARI ESTATE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,IDI-IROKO/IKEREKU,30-25-02-026,OPEN SPACE OPPOSITE EN-JOY SCHOOL OFF ASHIPA,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,IDI-IROKO/IKEREKU,30-25-02-032,OPEN SPACE BEHIND  POLICE CHILDREN SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,IDI-IROKO/IKEREKU,30-25-02-039,BOLA IMMACULATE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,IDI-IROKO/IKEREKU,30-25-02-042,OPEN SPACE OPPPOSITE NURULAHI SHOPPING COMPLEX,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,IDI-IROKO/IKEREKU,30-25-02-043,IDI-OYA,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,IDI-IROKO/IKEREKU,30-25-02-044,FIRST AVIANS,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,IDI-IROKO/IKEREKU,30-25-02-046,BEHIND AJUMOBI NEW GARAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,IDI-IROKO/IKEREKU,30-25-02-051,OPEN SPACE BESIDE GEORGE DUKE GROUP  OF SCHOOL,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,ODO-ONA NLA,30-25-05-012,OPEN SPACE BESIDE GUARARD SCHOOL ODO-ONA NLA,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,OKANHINDE/LATUNDE,30-25-06-009,HEALTH CARE CENTRE LATUNDE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,OLOMI/OLURINDE,30-25-07-021,AJIYO OGO OLUWA JUNCTION,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,OLOMI/OLURINDE,30-25-07-022,ONIBUIKE OLOMI,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,OLOMI/OLURINDE,30-25-07-023,OPEN SPACE OGBA LAILA,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,OLOMI/OLURINDE,30-25-07-024,AKURO OLOMI,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,OLOMI/OLURINDE,30-25-07-034,OPEN SPACE TEMITOPE/FATGBEM,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,OLOMI/OLURINDE,30-25-07-038,BOLUWAJI,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,30-25-10-009,OGUNDELE VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,30-25-10-010,BAMGBEGBIN VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,30-25-10-011,ORISUNBARE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,30-25-10-013,ABA-IBEJI,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,30-25-10-015,ST DAVID PRY.IGBONNA ABAOLORISA/ ILUTITUN,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,ONA-ARA,OJOKU/AJIA,30-26-08-007,"ST. SAVIOUR SCHOOL DALEGUN, AJIA",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,ONA-ARA,OGBERE,30-26-06-014,OPEN SPACE OPPOSITE ALAJAMETA BUS-STOP OREMEJI,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,ONA-ARA,OGBERE TIOYA,30-26-07-021,"OYE BLOCK JUNCTION, BESIDE DECENT KEM FILLING STATION",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,ONA-ARA,OGBERE TIOYA,30-26-07-024,"OKE OGBERE COMMUNITY HIGH SCHOOL,JEGEDE",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,ONA-ARA,OLORUNSOGO,30-26-09-015,COMMUNITY PRIMARY SCHOOL SAWIA,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,ONA-ARA,OLORUNSOGO,30-26-09-017,OPEN SPACE IN FRONT OF TRANSFORMER IFELAJULO,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,ONA-ARA,OLORUNSOGO,30-26-09-018,"OPEN SPACE, AJUNWON JUNCTION",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,ONA-ARA,OLORUNSOGO,30-26-09-019,OPEN SPACE SERIKI MARKET,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,OORELOPE,AARE,30-27-02-005,BAPTIST CENTRAL SCHOOL II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,SAKI WEST,AJEGUNLE,30-32-02-031,"BARRACKS PRIMARY HEALTH CENTRE, SAKI",0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,SAKI WEST,AJEGUNLE,30-32-02-035,FRONT OF SPORTS COUNCIL,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,SAKI WEST,EKOKAN / IMUA,30-32-04-016,WASANGARE CORNER,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,SAKI WEST,OKE-ORO,30-32-07-015,(OPEN SPACE) OPP. BAPTIST MEDICAL CENTRE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,SAKI WEST,SEPETERI/BAPON,30-32-11-021,"ISALE EFII, MATERNITY CENTRE",0,0,0,0,1,0,1,1,0,0,0,0,0,
